Matlab Timestamp,Data 1,Data 2
63524.22709,368,736
63524.22709,355,836
63524.22709,359,832
63524.22709,362,832
63524.22709,358,836
63524.22709,354,832
63524.22709,360,836
63524.22709,361,832
63524.22709,367,832
63524.22709,366,836
63524.22709,355,832
63524.22709,347,832
63524.22709,346,836
63524.22709,353,832
63524.23017,357,832
63524.23017,362,836
63524.23017,365,832
63524.23017,363,832
63524.23017,361,836
63524.23017,372,832
63524.23017,379,832
63524.23017,379,836
63524.23017,372,832
63524.23017,367,832
63524.23017,367,836
63524.23017,363,832
63524.23017,356,832
63524.23017,363,836
63524.23017,370,832
63524.23017,373,832
63524.2405,361,836
63524.2405,362,832
63524.2405,361,832
63524.2405,358,836
63524.2405,357,832
63524.2405,354,832
63524.2405,345,836
63524.2405,335,832
63524.2405,327,836
63524.2405,330,832
63524.2405,338,832
63524.2405,345,836
63524.2405,347,832
63524.2405,351,832
63524.2405,354,836
63524.2405,346,832
63524.25465,337,832
63524.25465,334,836
63524.25465,334,832
63524.25465,338,832
63524.25465,341,836
63524.25465,344,832
63524.25465,353,832
63524.25465,353,836
63524.25465,355,832
63524.25465,364,832
63524.25465,379,836
63524.25465,377,832
63524.25465,375,832
63524.25465,366,836
63524.25465,371,832
63524.25465,372,832
63524.26725,363,836
63524.26725,365,832
63524.26725,368,832
63524.26725,369,836
63524.26725,372,832
63524.26725,368,832
63524.26725,366,836
63524.26725,361,832
63524.26725,359,836
63524.26725,357,832
63524.26725,352,832
63524.26725,349,836
63524.26725,352,832
63524.26725,360,832
63524.26725,368,836
63524.26725,370,832
63524.27867,372,832
63524.27867,374,836
63524.27867,378,832
63524.27867,379,832
63524.27867,382,836
63524.27867,381,832
63524.27867,376,832
63524.27867,372,836
63524.27867,366,832
63524.27867,364,832
63524.27867,364,836
63524.27867,359,832
63524.27867,355,832
63524.27867,355,836
63524.27867,356,832
63524.27867,363,832
63524.29126,367,836
63524.29126,371,832
63524.29126,373,832
63524.29126,385,836
63524.29126,387,832
63524.29126,395,832
63524.29126,391,836
63524.29126,384,832
63524.29126,375,836
63524.29126,381,832
63524.29126,391,832
63524.29126,400,836
63524.29126,392,832
63524.29126,387,832
63524.29126,380,836
63524.29126,371,832
63524.30775,369,832
63524.30775,377,836
63524.30775,385,832
63524.30775,383,832
63524.30775,388,836
63524.30775,393,832
63524.30775,392,832
63524.30775,396,836
63524.30775,399,832
63524.30775,389,832
63524.30775,378,836
63524.30775,375,832
63524.30775,379,832
63524.30775,381,836
63524.30775,384,832
63524.30775,389,832
63524.3204,390,836
63524.3204,381,832
63524.3204,381,832
63524.3204,382,836
63524.3204,379,832
63524.3204,372,832
63524.3204,372,836
63524.3204,376,832
63524.3204,382,832
63524.3204,373,836
63524.3204,369,832
63524.3204,372,836
63524.3204,379,832
63524.3204,386,832
63524.3204,389,836
63524.3204,385,832
63524.33191,387,832
63524.33191,392,836
63524.33191,390,832
63524.33191,380,832
63524.33191,378,836
63524.33191,377,832
63524.33191,378,832
63524.33191,376,836
63524.33191,371,832
63524.33191,373,832
63524.33191,373,836
63524.33191,378,832
63524.33191,380,832
63524.33191,384,836
63524.33191,375,832
63524.33191,377,832
63524.34859,376,836
63524.34859,377,832
63524.34859,375,832
63524.34859,377,836
63524.34859,380,832
63524.34859,386,832
63524.34859,382,836
63524.34859,383,832
63524.34859,381,836
63524.34859,379,832
63524.34859,377,832
63524.34859,380,836
63524.34859,381,832
63524.34859,391,832
63524.34859,402,836
63524.34859,408,832
63524.36119,398,832
63524.36119,393,836
63524.36119,390,832
63524.36119,394,832
63524.36119,399,836
63524.36119,399,832
63524.36119,399,832
63524.36119,402,836
63524.36119,400,832
63524.36119,399,832
63524.36119,401,836
63524.36119,399,832
63524.36119,388,832
63524.36119,392,836
63524.36119,397,832
63524.36119,396,832
63524.37253,393,836
63524.37253,383,832
63524.37253,379,832
63524.37253,381,836
63524.37253,396,832
63524.37253,400,832
63524.37253,408,836
63524.37253,407,832
63524.37253,407,832
63524.37253,396,836
63524.37253,392,832
63524.37253,391,836
63524.37253,388,832
63524.37253,391,832
63524.37253,398,836
63524.37253,395,832
63524.38516,391,832
63524.38516,392,836
63524.38516,399,832
63524.38516,397,832
63524.38516,395,836
63524.38516,394,832
63524.38516,400,832
63524.38516,417,836
63524.38516,426,832
63524.38516,421,832
63524.38516,419,836
63524.38516,420,832
63524.38516,422,832
63524.38516,416,836
63524.38516,403,832
63524.38516,404,832
63524.4015,414,836
63524.4015,412,832
63524.4015,406,832
63524.4015,402,836
63524.4015,395,832
63524.4015,383,832
63524.4015,381,836
63524.4015,382,832
63524.4015,392,832
63524.4015,395,836
63524.4015,399,832
63524.4015,404,836
63524.4015,409,832
63524.4015,401,832
63524.4015,396,836
63524.4015,400,832
63524.41409,406,832
63524.41409,411,836
63524.41409,407,832
63524.41409,408,832
63524.41409,408,836
63524.41409,406,832
63524.41409,409,832
63524.41409,403,836
63524.41409,403,832
63524.41409,400,832
63524.41409,399,836
63524.41409,396,832
63524.41409,399,832
63524.41409,402,836
63524.41409,403,832
63524.41409,403,832
63524.42675,402,836
63524.42675,405,832
63524.42675,408,832
63524.42675,405,836
63524.42675,405,832
63524.42675,404,832
63524.42675,404,836
63524.42675,414,832
63524.42675,413,832
63524.42675,409,836
63524.42675,417,832
63524.42675,413,836
63524.42675,402,832
63524.42675,398,832
63524.42675,399,836
63524.42675,404,832
63524.43804,412,832
63524.43804,409,836
63524.43804,403,832
63524.43804,403,832
63524.43804,406,836
63524.43804,407,832
63524.43804,409,832
63524.43804,409,836
63524.43804,412,832
63524.43804,410,832
63524.43804,408,836
63524.43804,408,832
63524.43804,409,832
63524.43804,404,836
63524.43804,400,832
63524.43804,398,832
63524.45562,401,836
63524.45562,399,832
63524.45562,404,832
63524.45562,401,836
63524.45562,398,832
63524.45562,398,832
63524.45562,401,836
63524.45562,408,832
63524.45562,415,832
63524.45562,417,836
63524.45562,413,832
63524.45562,407,836
63524.45562,402,832
63524.45562,395,832
63524.45562,397,836
63524.45562,402,832
63524.46739,407,832
63524.46739,408,836
63524.46739,411,832
63524.46739,410,832
63524.46739,408,836
63524.46739,411,832
63524.46739,419,832
63524.46739,422,836
63524.46739,417,832
63524.46739,413,832
63524.46739,416,836
63524.46739,421,832
63524.46739,425,832
63524.46739,424,836
63524.46739,419,832
63524.46739,419,832
63524.47979,426,836
63524.47979,431,832
63524.47979,431,832
63524.47979,421,836
63524.47979,415,832
63524.47979,412,832
63524.47979,411,836
63524.47979,409,832
63524.47979,408,836
63524.47979,409,832
63524.47979,416,832
63524.47979,417,836
63524.47979,419,832
63524.47979,415,832
63524.47979,414,836
63524.47979,415,832
63524.49123,414,832
63524.49123,414,836
63524.49123,420,832
63524.49123,424,832
63524.49123,426,836
63524.49123,420,832
63524.49123,420,832
63524.49123,416,836
63524.49123,420,832
63524.49123,420,832
63524.49123,423,836
63524.49123,416,832
63524.49123,416,832
63524.49123,413,836
63524.49123,413,832
63524.49123,410,832
63524.50768,410,836
63524.50768,411,832
63524.50768,414,832
63524.50768,419,836
63524.50768,416,832
63524.50768,414,832
63524.50768,413,836
63524.50768,412,832
63524.50768,415,832
63524.50768,412,836
63524.50768,413,832
63524.50768,414,836
63524.50768,417,832
63524.50768,416,832
63524.50768,419,836
63524.50768,418,832
63524.52051,417,832
63524.52051,416,836
63524.52051,412,832
63524.52051,413,832
63524.52051,417,836
63524.52051,417,832
63524.52051,419,832
63524.52051,426,836
63524.52051,431,832
63524.52051,430,832
63524.52051,431,836
63524.52051,432,832
63524.52051,436,832
63524.52051,437,836
63524.52051,432,844
63524.52051,429,820
63524.53332,426,836
63524.53332,423,832
63524.53332,423,832
63524.53332,424,836
63524.53332,429,832
63524.53332,429,832
63524.53332,424,836
63524.53332,422,832
63524.53332,420,836
63524.53332,421,832
63524.53332,425,832
63524.53332,428,836
63524.53332,430,832
63524.53332,423,832
63524.53332,421,836
63524.53332,423,832
63524.54474,421,832
63524.54474,419,836
63524.54474,423,832
63524.54474,429,832
63524.54474,434,836
63524.54474,438,832
63524.54474,440,832
63524.54474,434,836
63524.54474,432,832
63524.54474,431,832
63524.54474,432,836
63524.54474,429,832
63524.54474,429,832
63524.54474,431,836
63524.54474,431,832
63524.54474,427,832
63524.55728,427,836
63524.55728,429,832
63524.55728,430,832
63524.55728,426,836
63524.55728,427,832
63524.55728,428,832
63524.55728,431,836
63524.55728,428,832
63524.55728,426,832
63524.55728,425,836
63524.55728,423,832
63524.55728,420,836
63524.55728,423,832
63524.55728,424,832
63524.55728,426,836
63524.55728,428,832
63524.57389,427,832
63524.57389,420,836
63524.57389,417,832
63524.57389,413,832
63524.57389,415,836
63524.57389,417,832
63524.57389,419,832
63524.57389,419,836
63524.57389,418,832
63524.57389,418,832
63524.57389,420,836
63524.57389,418,832
63524.57389,420,832
63524.57389,420,836
63524.57389,420,832
63524.57389,421,832
63524.58633,423,836
63524.58633,420,832
63524.58633,418,832
63524.58633,415,836
63524.58633,417,832
63524.58633,415,832
63524.58633,414,836
63524.58633,415,832
63524.58633,418,832
63524.58633,418,836
63524.58633,420,832
63524.58633,420,836
63524.58633,421,832
63524.58633,421,832
63524.58633,421,836
63524.58633,424,832
63524.59767,424,832
63524.59767,422,836
63524.59767,420,832
63524.59767,420,832
63524.59767,422,836
63524.59767,423,832
63524.59767,419,832
63524.59767,416,836
63524.59767,417,832
63524.59767,416,832
63524.59767,419,836
63524.59767,422,832
63524.59767,424,832
63524.59767,425,836
63524.59767,427,832
63524.59767,428,832
63524.61043,431,836
63524.61043,431,832
63524.61043,428,832
63524.61043,426,836
63524.61043,423,832
63524.61043,425,832
63524.61043,425,836
63524.61043,427,832
63524.61043,428,836
63524.61043,424,832
63524.61043,421,832
63524.61043,420,836
63524.61043,422,832
63524.61043,423,832
63524.61043,424,836
63524.61043,425,832
63524.62692,427,832
63524.62692,428,836
63524.62692,422,832
63524.62692,419,832
63524.62692,422,836
63524.62692,421,832
63524.62692,424,832
63524.62692,428,836
63524.62692,431,832
63524.62692,433,832
63524.62692,432,836
63524.62692,431,832
63524.62692,432,832
63524.62692,430,836
63524.62692,429,832
63524.62692,428,832
63524.63962,426,836
63524.63962,424,832
63524.63962,428,832
63524.63962,430,836
63524.63962,433,832
63524.63962,431,832
63524.63962,431,836
63524.63962,434,832
63524.63962,434,832
63524.63962,435,836
63524.63962,435,832
63524.63962,433,836
63524.63962,427,832
63524.63962,425,832
63524.63962,423,836
63524.63962,421,832
63524.65104,423,832
63524.65104,422,836
63524.65104,421,832
63524.65104,416,832
63524.65104,412,836
63524.65104,414,832
63524.65104,414,832
63524.65104,417,836
63524.65104,418,832
63524.65104,420,832
63524.65104,423,836
63524.65104,423,832
63524.65104,424,832
63524.65104,426,836
63524.65104,426,832
63524.65104,426,832
63524.66369,428,836
63524.66369,427,832
63524.66369,430,832
63524.66369,427,836
63524.66369,426,832
63524.66369,425,832
63524.66369,424,836
63524.66369,421,832
63524.66369,419,832
63524.66369,417,836
63524.66369,420,832
63524.66369,427,836
63524.66369,431,832
63524.66369,431,832
63524.66369,429,836
63524.66369,428,832
63524.68015,431,832
63524.68015,431,836
63524.68015,431,832
63524.68015,430,832
63524.68015,429,836
63524.68015,428,832
63524.68015,428,832
63524.68015,426,836
63524.68015,427,832
63524.68015,426,832
63524.68015,422,836
63524.68015,421,832
63524.68015,416,832
63524.68015,417,836
63524.68015,420,832
63524.68015,423,832
63524.69274,426,836
63524.69274,428,832
63524.69274,430,832
63524.69274,432,836
63524.69274,432,832
63524.69274,434,832
63524.69274,434,836
63524.69274,431,832
63524.69274,427,836
63524.69274,424,832
63524.69274,420,832
63524.69274,420,836
63524.69274,421,832
63524.69274,423,832
63524.69274,423,836
63524.69274,423,832
63524.70546,423,832
63524.70546,425,836
63524.70546,427,832
63524.70546,430,832
63524.70546,438,836
63524.70546,438,832
63524.70546,434,832
63524.70546,429,836
63524.70546,427,832
63524.70546,429,832
63524.70546,430,836
63524.70546,432,832
63524.70546,432,832
63524.70546,432,836
63524.70546,431,832
63524.70546,432,832
63524.72072,432,836
63524.72072,434,832
63524.72072,433,832
63524.72072,431,836
63524.72072,428,832
63524.72072,426,832
63524.72072,425,836
63524.72072,426,832
63524.72072,427,836
63524.72072,430,832
63524.72072,433,832
63524.72072,434,836
63524.72072,436,832
63524.72072,438,832
63524.72072,438,836
63524.72072,439,832
63524.73343,437,832
63524.73343,437,836
63524.73343,437,832
63524.73343,437,832
63524.73343,436,836
63524.73343,434,832
63524.73343,432,832
63524.73343,431,836
63524.73343,430,832
63524.73343,429,832
63524.73343,432,836
63524.73343,434,832
63524.73343,436,832
63524.73343,436,836
63524.73343,436,832
63524.73343,435,832
63524.74609,434,836
63524.74609,432,832
63524.74609,432,832
63524.74609,434,836
63524.74609,433,832
63524.74609,435,832
63524.74609,437,836
63524.74609,437,832
63524.74609,437,832
63524.74609,433,836
63524.74609,430,832
63524.74609,429,836
63524.74609,429,832
63524.74609,427,832
63524.74609,428,836
63524.74609,431,832
63524.75755,435,832
63524.75755,435,836
63524.75755,437,832
63524.75755,439,832
63524.75755,442,836
63524.75755,445,832
63524.75755,446,832
63524.75755,445,836
63524.75755,441,832
63524.75755,439,832
63524.75755,436,836
63524.75755,437,832
63524.75755,437,832
63524.75755,436,836
63524.75755,438,832
63524.75755,435,832
63524.7753,433,836
63524.7753,433,832
63524.7753,436,832
63524.7753,436,836
63524.7753,438,832
63524.7753,439,832
63524.7753,440,836
63524.7753,441,832
63524.7753,440,836
63524.7753,440,832
63524.7753,439,832
63524.7753,439,836
63524.7753,440,832
63524.7753,441,832
63524.7753,440,836
63524.7753,442,832
63524.78645,440,832
63524.78645,440,836
63524.78645,440,832
63524.78645,439,832
63524.78645,440,836
63524.78645,439,832
63524.78645,440,832
63524.78645,440,836
63524.78645,442,832
63524.78645,442,832
63524.78645,443,836
63524.78645,444,832
63524.78645,445,832
63524.78645,445,836
63524.78645,443,832
63524.78645,443,832
63524.79919,438,836
63524.79919,435,832
63524.79919,432,832
63524.79919,433,836
63524.79919,432,832
63524.79919,435,832
63524.79919,438,836
63524.79919,437,832
63524.79919,439,836
63524.79919,436,832
63524.79919,435,832
63524.79919,434,836
63524.79919,436,832
63524.79919,437,832
63524.79919,441,836
63524.79919,442,832
63524.81561,441,832
63524.81561,442,836
63524.81561,442,832
63524.81561,444,832
63524.81561,445,836
63524.81561,447,832
63524.81561,447,832
63524.81561,449,836
63524.81561,449,832
63524.81561,448,832
63524.81561,448,836
63524.81561,445,832
63524.81561,444,832
63524.81561,442,836
63524.81561,442,832
63524.81561,443,832
63524.82825,444,836
63524.82825,445,832
63524.82825,447,832
63524.82825,448,836
63524.82825,449,832
63524.82825,449,832
63524.82825,447,836
63524.82825,447,832
63524.82825,447,836
63524.82825,448,832
63524.82825,446,832
63524.82825,443,836
63524.82825,439,832
63524.82825,437,832
63524.82825,436,836
63524.82825,435,832
63524.83967,438,832
63524.83967,437,836
63524.83967,438,832
63524.83967,437,832
63524.83967,438,836
63524.83967,439,832
63524.83967,440,832
63524.83967,442,836
63524.83967,443,832
63524.83967,439,832
63524.83967,437,836
63524.83967,435,832
63524.83967,434,832
63524.83967,435,836
63524.83967,435,832
63524.83967,436,832
63524.85238,437,836
63524.85238,436,832
63524.85238,434,832
63524.85238,432,836
63524.85238,434,832
63524.85238,436,832
63524.85238,437,836
63524.85238,436,832
63524.85238,435,832
63524.85238,435,836
63524.85238,438,832
63524.85238,437,836
63524.85238,436,832
63524.85238,436,832
63524.85238,437,836
63524.85238,440,832
63524.86894,440,832
63524.86894,440,836
63524.86894,440,832
63524.86894,441,832
63524.86894,439,836
63524.86894,438,832
63524.86894,438,832
63524.86894,436,836
63524.86894,435,832
63524.86894,437,832
63524.86894,439,836
63524.86894,441,832
63524.86894,442,832
63524.86894,441,836
63524.86894,440,832
63524.86894,442,832
63524.88313,445,836
63524.88313,448,844
63524.88313,446,820
63524.88313,442,836
63524.88313,440,832
63524.88313,442,832
63524.88313,442,836
63524.88313,444,832
63524.88313,444,832
63524.88313,442,836
63524.88313,440,832
63524.88313,439,836
63524.88313,438,832
63524.88313,436,832
63524.88313,436,836
63524.88313,437,832
63524.89294,439,832
63524.89294,439,836
63524.89294,439,832
63524.89294,439,832
63524.89294,439,836
63524.89294,440,832
63524.89294,441,832
63524.89294,441,836
63524.89294,443,832
63524.89294,446,832
63524.89294,449,836
63524.89294,451,832
63524.89294,452,832
63524.89294,450,836
63524.89294,446,832
63524.89294,443,832
63524.9093,440,836
63524.9093,439,832
63524.9093,438,832
63524.9093,437,836
63524.9093,438,832
63524.9093,438,832
63524.9093,440,836
63524.9093,439,832
63524.9093,442,832
63524.9093,443,836
63524.9093,444,832
63524.9093,444,836
63524.9093,443,832
63524.9093,442,832
63524.9093,440,836
63524.9093,440,832
63524.92202,441,832
63524.92202,444,836
63524.92202,443,832
63524.92202,446,832
63524.92202,444,836
63524.92202,443,832
63524.92202,443,832
63524.92202,445,836
63524.92202,445,832
63524.92202,445,832
63524.92202,444,836
63524.92202,441,832
63524.92202,442,832
63524.92202,443,836
63524.92202,443,832
63524.92202,441,832
63524.93464,441,836
63524.93464,443,832
63524.93464,445,832
63524.93464,446,836
63524.93464,445,832
63524.93464,447,832
63524.93464,445,836
63524.93464,444,832
63524.93464,442,836
63524.93464,442,832
63524.93464,442,832
63524.93464,445,836
63524.93464,449,832
63524.93464,452,832
63524.93464,452,836
63524.93464,451,832
63524.94607,451,832
63524.94607,450,836
63524.94607,452,832
63524.94607,451,832
63524.94607,451,836
63524.94607,447,832
63524.94607,446,832
63524.94607,446,836
63524.94607,444,832
63524.94607,441,832
63524.94607,439,836
63524.94607,438,832
63524.94607,439,832
63524.94607,439,836
63524.94607,440,832
63524.94607,443,832
63524.96269,445,836
63524.96269,446,832
63524.96269,444,832
63524.96269,445,836
63524.96269,445,832
63524.96269,444,832
63524.96269,445,836
63524.96269,445,832
63524.96269,448,832
63524.96269,450,836
63524.96269,452,832
63524.96269,452,836
63524.96269,451,832
63524.96269,450,832
63524.96269,451,836
63524.96269,448,832
63524.9753,445,832
63524.9753,444,836
63524.9753,443,832
63524.9753,447,832
63524.9753,450,836
63524.9753,451,832
63524.9753,451,832
63524.9753,452,836
63524.9753,455,832
63524.9753,459,832
63524.9753,460,836
63524.9753,460,832
63524.9753,460,832
63524.9753,457,836
63524.9753,456,832
63524.9753,451,832
63524.99041,446,836
63524.99041,443,832
63524.99041,442,832
63524.99041,442,836
63524.99041,444,832
63524.99041,446,832
63524.99041,447,836
63524.99041,446,832
63524.99041,446,836
63524.99041,446,832
63524.99041,444,832
63524.99041,443,836
63524.99041,442,832
63524.99041,441,832
63524.99041,443,836
63524.99041,444,832
63525.00027,446,832
63525.00027,447,836
63525.00027,447,832
63525.00027,448,832
63525.00027,450,836
63525.00027,452,832
63525.00027,453,832
63525.00027,451,836
63525.00027,450,832
63525.00027,451,832
63525.00027,450,836
63525.00027,446,832
63525.00027,447,832
63525.00027,451,836
63525.00027,453,832
63525.00027,456,832
63525.01157,456,836
63525.01157,457,832
63525.01157,458,832
63525.01157,457,836
63525.01157,458,832
63525.01157,457,832
63525.01157,455,836
63525.01157,453,832
63525.01157,452,832
63525.01157,450,836
63525.01157,451,832
63525.01157,450,836
63525.01157,449,832
63525.01157,452,832
63525.01157,455,836
63525.01157,457,832
63525.02784,458,832
63525.02784,458,836
63525.02784,457,832
63525.02784,455,832
63525.02784,453,836
63525.02784,453,832
63525.02784,455,832
63525.02784,454,836
63525.02784,455,832
63525.02784,456,832
63525.02784,457,836
63525.02784,457,832
63525.02784,456,832
63525.02784,457,836
63525.02784,454,832
63525.02784,452,832
63525.04062,448,836
63525.04062,447,832
63525.04062,447,832
63525.04062,447,836
63525.04062,447,832
63525.04062,450,832
63525.04062,453,836
63525.04062,454,832
63525.04062,456,832
63525.04062,458,836
63525.04062,459,832
63525.04062,458,836
63525.04062,458,832
63525.04062,455,832
63525.04062,455,836
63525.04062,455,832
63525.05333,452,832
63525.05333,453,836
63525.05333,452,832
63525.05333,455,832
63525.05333,455,836
63525.05333,456,832
63525.05333,455,832
63525.05333,457,836
63525.05333,460,832
63525.05333,461,832
63525.05333,461,836
63525.05333,462,832
